start		1563267746.754411749	1563267747.708409263
audio		1563267758.056208515	1563267796.224328275
video		1563267797.368677333	1563268060.864337584
audio		1563268062.619960042	1563268074.823633443
audio		1563268076.939471876	1563268091.539247989
audio		1563268092.737466943	1563268116.469760568
audio		1563268117.994002519	1563268147.489968294
audio		1563268148.986899578	1563268173.559748257
audio		1563268174.973467345	1563268194.424440777
audio		1563268201.691507792	1563268220.754845657
audio		1563268222.064181182	1563268237.993795635
audio		1563268242.845045675	1563268265.183546325
audio		1563268267.521013308	1563268290.893565811
audio		1563268292.263551571	1563268326.609779682
audio		1563268328.074475962	1563268361.890063018
audio		1563268365.050874946	1563268391.828817041
audio		1563268393.736666521	1563268412.550059225
audio		1563268417.167948724	1563268437.316961833
