start		1563274090.832609744	1563274091.659240974
audio		1563274099.394148646	1563274114.248748876
audio		1563274116.066475198	1563274131.034886158
audio		1563274131.836727876	1563274143.438819956
audio		1563274144.921327998	1563274176.248216238
audio		1563274178.036281433	1563274196.569985604
audio		1563274197.817870609	1563274226.924930724
audio		1563274228.250226860	1563274244.833267986
audio		1563274245.495620060	1563274255.517436542
audio		1563274257.197083642	1563274268.879126817
audio		1563274270.653155117	1563274308.854467161
audio		1563274311.086730447	1563274330.523416188
audio		1563274332.264575908	1563274365.328064249
audio		1563274366.634503755	1563274421.135400346
audio		1563274422.656215695	1563274443.857439781
audio		1563274444.855724656	1563274462.919909062
audio		1563274463.599439025	1563274485.849871322
audio		1563274487.165200534	1563274516.071308949
audio		1563274523.707775563	1563274542.654817731
